Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
328,Measurement of prompt-photon-tagged jet production in Au+Au collisions at 200 GeV with sPHENIX,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
147,Operation and performance of the sPHENIX vertex detector,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
183,Low-$p_\mathrm T$ direct-photon production and HBT correlations in heavy-ion collisions measured with ALICE,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
286,Quarkonia production and polarization in proton-proton collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
165,Measurement of coherent $K^{+}K^{-}$ photoproduction in Au+Au ultra-peripheral collisions at $\sqrt{s_{_{\mathrm{NN}}}} = 200~\mathrm{GeV}$ with the STAR detector,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
217,Inclusive and Dijet EEC measurements in proton-proton collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
70,$\Omega_{\mathrm{c}}^0$ production vs. multiplicity in proton--proton collisions at $\sqrt{s}=13.6~TeV$,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
141,Dijet probes for nuclear PDF modification in p+A collisions at ATLAS,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Poster presentation
313,sPHENIX Calorimeter Jet Substructure Measurements with Jet Reclustering,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
346,Measurement of Jet Mass in $p+p$ Collisions at $\sqrt{s}=200$ GeV with the sPHENIX Experiment,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
95,Measurement of b-jet cross section in pp collisions using graph neural networks with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
109,Time-Based Reclustering for Identifying Early Jet Splittings in pp Collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
